Artist,Album,Song,Date Saved,Album Art
"TINI","TINI (Martina Stoessel) [Deluxe Edition]","Confía En Mí","2019/06/26","https://i.scdn.co/image/ab67616d0000b2733a8f52ff59c6f8db0470d225" 
"Pedro Capó","Calma (Remix)","Calma - Remix","2019/02/14","https://i.scdn.co/image/ab67616d0000b273c736f0be0530ea1e1a7fd601" 
"Los Polinesios","Festival","Festival","2019/02/28","https://i.scdn.co/image/ab67616d0000b2732e70338383ff5a38cc3711aa" 
"Daniel Boaventura","Daniel Boaventura En Vivo En México","You'll Never Find Another Love Like Mine - Ao Vivo","2019/08/13","https://i.scdn.co/image/ab67616d0000b273db2594c3c3a53b1c6d895168" 
"Daniel Boaventura","Daniel Boaventura En Vivo En México","Sway - Ao Vivo","2019/08/13","https://i.scdn.co/image/ab67616d0000b273db2594c3c3a53b1c6d895168" 
"Daniel Boaventura","Daniel Boaventura En Vivo En México","The Girl From Ipanema / Garota De Ipanema (feat. Daniel Jobim) - Ao Vivo","2019/08/13","https://i.scdn.co/image/ab67616d0000b273db2594c3c3a53b1c6d895168" 
"Daniel Boaventura","Daniel Boaventura En Vivo En México","Wave (feat. Daniel Jobim) - Ao Vivo","2019/08/13","https://i.scdn.co/image/ab67616d0000b273db2594c3c3a53b1c6d895168" 
"Daniel Boaventura","Your Song (Ao Vivo) [Deluxe]","Perhaps, Perhaps, Perhaps (Quizás, Quizás, Quizás) (feat. Carlos Rivera) - Ao Vivo","2019/08/13","https://i.scdn.co/image/ab67616d0000b27350556cea90a0d0ce4539bb46" 
"Bart Howard","Daniel Boaventura Canta Frank Sinatra (Ao Vivo)","Fly Me to the Moon (In Other Words) - Ao Vivo","2019/08/13","https://i.scdn.co/image/ab67616d0000b273fcf7f0355f18c33892b36f22" 
"Daniel Boaventura","Daniel Boaventura (Ao Vivo)","Dancing Queen - Ao Vivo","2019/08/13","https://i.scdn.co/image/ab67616d0000b273e1459f17e91d1a0400a252fe" 
"Michael Bublé","Bublé! (Original Soundtrack from his NBC TV Special)","La vie en rose (feat. Cécile McLorin Salvant)","2019/08/13","https://i.scdn.co/image/ab67616d0000b273fba4d4f37bc4ba2633264d1d" 
"Michael Bublé","Bublé! (Original Soundtrack from his NBC TV Special)","Feeling Good","2019/08/13","https://i.scdn.co/image/ab67616d0000b273fba4d4f37bc4ba2633264d1d" 
"Michael Bublé","On an Evening in Roma (Sott'er Celo de Roma)","On an Evening in Roma (Sott'er Celo de Roma)","2019/08/13","https://i.scdn.co/image/ab67616d0000b2738cf8b00e1e50dc0769fd3e78" 
"Ed Sheeran","Perfect Duet (Ed Sheeran & Beyoncé)","Perfect Duet (Ed Sheeran & Beyoncé)","2019/08/13","https://i.scdn.co/image/ab67616d0000b273af6b2fca3b6e24612a5fe5d8" 
"Scorpions","Comeblack","Still Loving You","2019/08/13","https://i.scdn.co/image/ab67616d0000b2739f2023d391c3bd4acf4d51c6" 
"Engelbert Humperdinck","A Man Without Love","Can't Take My Eyes Off You","2019/08/13","https://i.scdn.co/image/ab67616d0000b27313f61b73b155d49c9ad671b9" 
"Justin Bieber","Purpose (Deluxe)","Love Yourself","2019/08/13","https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead" 
"Elton John","Sleeping With The Past (Remastered with bonus tracks)","Sacrifice","2019/08/13","https://i.scdn.co/image/ab67616d0000b273d3a4359de062677ffd7304aa" 
"Bonnie Tyler","The Very Best Of Bonnie Tyler","Total Eclipse of the Heart","2019/08/13","https://i.scdn.co/image/ab67616d0000b27393d73d10075d96b65ba04dcb" 
"Chicago","Chicago 16 (Expanded Edition)","Hard to Say I'm Sorry - 2009 Remaster","2019/08/13","https://i.scdn.co/image/ab67616d0000b2734b557f4ed73a780583c5af69" 
"Céline Dion","Let's Talk About Love","My Heart Will Go On - Love Theme from "Titanic"","2019/08/13","https://i.scdn.co/image/ab67616d0000b273a626e7f7249adfbf2a839954" 
"Whitney Houston","The Bodyguard - Original Soundtrack Album","I Have Nothing","2019/08/13","https://i.scdn.co/image/ab67616d0000b273456c0b5d0316a80dc600802e" 
